                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.69609,                0.44542,                 1.2279,                0.94712,                      1,                0.99139,                0.83791,                0.67668,                0.41835,                 1.3451,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.6082,                0.42658,                 1.1163,                0.99909,                      1,                  0.995,                0.85544,                0.64773,                0.35329,                  1.304,              0.0006536,              0.0006536,              0.0006536
                     71,                0.58246,                0.39439,                 1.0963,                0.99758,                      1,                  0.995,                0.85865,                 0.5975,                0.34715,                 1.2523,              0.0006338,              0.0006338,              0.0006338
                     72,                0.61335,                0.41424,                  1.151,                0.99733,                      1,                  0.995,                0.84839,                 0.6172,                 0.3661,                 1.2614,               0.000614,               0.000614,               0.000614
                     73,                0.60243,                0.40777,                  1.124,                0.99965,                      1,                  0.995,                0.84141,                0.65932,                0.36075,                 1.3087,              0.0005942,              0.0005942,              0.0005942
                     74,                0.60899,                0.42475,                  1.129,                0.98212,                0.99862,                0.99446,                0.83303,                0.66617,                0.38405,                 1.3025,              0.0005744,              0.0005744,              0.0005744
                     75,                0.56171,                 0.4094,                 1.1107,                0.98212,                0.99875,                0.99446,                0.85665,                0.63016,                0.38706,                 1.2675,              0.0005546,              0.0005546,              0.0005546
                     76,                0.54319,                 0.4008,                 1.1166,                0.98212,                0.99892,                0.99375,                0.83118,                0.65875,                0.39305,                 1.2881,              0.0005348,              0.0005348,              0.0005348
                     77,                0.54879,                0.37649,                 1.1002,                 0.9982,                      1,                  0.995,                0.81978,                0.66757,                0.37173,                 1.3253,               0.000515,               0.000515,               0.000515
                     78,                  0.546,                0.40387,                 1.1036,                0.98597,                      1,                  0.995,                0.85623,                0.63765,                0.36416,                 1.2849,              0.0004952,              0.0004952,              0.0004952
                     79,                0.59629,                0.45784,                 1.0948,                0.97563,                      1,                0.99446,                0.83272,                 0.6601,                0.36524,                 1.3087,              0.0004754,              0.0004754,              0.0004754
                     80,                0.59822,                 0.4278,                 1.1035,                      1,                0.99967,                  0.995,                0.83099,                0.65388,                0.36581,                 1.2803,              0.0004556,              0.0004556,              0.0004556
                     81,                0.54297,                0.38463,                 1.0846,                0.98099,                      1,                0.99339,                0.84935,                0.60387,                0.36932,                 1.2104,              0.0004358,              0.0004358,              0.0004358
                     82,                0.53303,                0.40793,                 1.1021,                0.98209,                0.99686,                0.99411,                0.85747,                0.61011,                0.37036,                 1.2268,               0.000416,               0.000416,               0.000416
                     83,                0.56409,                0.39138,                 1.0911,                0.98197,                0.99017,                0.99214,                0.85182,                0.62493,                0.35251,                 1.2324,              0.0003962,              0.0003962,              0.0003962
                     84,                0.56535,                0.42974,                 1.0951,                0.96324,                      1,                0.99284,                0.84314,                0.62266,                0.35736,                 1.2236,              0.0003764,              0.0003764,              0.0003764
                     85,                0.54067,                0.37177,                 1.0836,                0.96437,                      1,                0.99284,                0.82702,                 0.6499,                0.35881,                 1.2481,              0.0003566,              0.0003566,              0.0003566
                     86,                0.54801,                0.39203,                 1.0967,                0.98195,                      1,                  0.995,                0.85443,                 0.6061,                0.32907,                 1.2169,              0.0003368,              0.0003368,              0.0003368
                     87,                0.51356,                0.37675,                 1.0804,                0.98156,                      1,                0.99339,                0.85932,                  0.593,                0.33853,                 1.2146,               0.000317,               0.000317,               0.000317
                     88,                0.54356,                0.37383,                 1.0852,                0.98189,                      1,                0.99339,                0.85795,                0.58184,                0.32986,                 1.2087,              0.0002972,              0.0002972,              0.0002972
                     89,                0.52511,                 0.3789,                 1.0784,                0.97939,                      1,                0.99375,                0.86079,                 0.5851,                0.35581,                 1.2212,              0.0002774,              0.0002774,              0.0002774
                     90,                0.53094,                 0.3699,                   1.07,                 0.9821,                0.99778,                0.98786,                0.84489,                0.60875,                0.35707,                 1.2171,              0.0002576,              0.0002576,              0.0002576
                     91,                0.41311,                0.45697,                 1.0544,                      1,                0.97943,                0.99482,                0.83944,                0.66334,                0.35925,                 1.2721,              0.0002378,              0.0002378,              0.0002378
                     92,                0.42025,                0.34553,                 1.0449,                0.98209,                0.99703,                0.99375,                0.83464,                0.67968,                0.36702,                 1.3089,               0.000218,               0.000218,               0.000218
                     93,                0.38649,                0.28517,                 1.0448,                0.98023,                      1,                0.99339,                0.83059,                0.67179,                0.36138,                 1.3038,              0.0001982,              0.0001982,              0.0001982
                     94,                0.41903,                0.28518,                 1.0614,                0.97965,                      1,                0.99339,                0.83463,                0.64744,                0.36543,                 1.2774,              0.0001784,              0.0001784,              0.0001784
                     95,                0.35817,                0.25678,                0.95774,                0.97622,                      1,                0.99446,                0.82262,                0.66085,                0.36876,                 1.2904,              0.0001586,              0.0001586,              0.0001586
                     96,                0.34866,                0.25929,                0.97506,                 0.9785,                      1,                0.99446,                0.82518,                0.65401,                0.35928,                 1.2923,              0.0001388,              0.0001388,              0.0001388
                     97,                0.34693,                0.26714,                 1.0005,                0.98014,                      1,                0.99482,                0.83114,                0.63193,                0.36224,                 1.2673,               0.000119,               0.000119,               0.000119
                     98,                0.48049,                0.38949,                 1.1102,                0.98066,                      1,                0.99482,                 0.8286,                0.60546,                0.35038,                 1.2382,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.36379,                0.25269,                0.97756,                0.98092,                      1,                0.99482,                0.84031,                0.58979,                0.34339,                 1.2252,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.35454,                0.25381,                0.96264,                0.98109,                      1,                0.99482,                0.84854,                0.59472,                0.34616,                 1.2262,               5.96e-05,               5.96e-05,               5.96e-05
